id,status_group
50785,non functional
51630,functional
17168,functional
45559,functional
49871,functional
52449,functional
24806,functional
28965,functional
36301,functional
54122,functional
419,functional
45750,functional
44607,functional
40228,functional
28785,functional
18532,non functional
69961,non functional
55083,functional
8691,functional
30331,functional
61136,functional
28799,functional
37350,functional
65738,functional
67523,functional
37034,functional
42432,functional
27420,functional
707,functional
48489,functional
72562,functional
10275,functional
8822,functional
51956,functional
44099,functional
51359,functional
17853,functional
42040,functional
72243,non functional
63653,functional
29351,functional
51897,non functional
26804,functional
67303,functional
69780,functional
54665,functional
39341,functional
8869,functional
19693,functional
14321,functional
67403,functional
28912,functional
24328,functional
1574,functional
22705,functional
54392,functional
37850,functional
5576,functional
60840,functional
9971,functional
57508,functional
43978,functional
38181,functional
24325,functional
34794,functional
67247,functional
23387,functional
18197,functional
24834,functional
4091,functional
44384,functional
64554,non functional
68314,functional
53,functional
38259,functional
16631,non functional
43162,functional
13690,functional
60335,functional
67891,functional
25564,functional
55293,functional
31866,functional
60279,functional
28615,functional
8744,functional
49626,functional
38098,functional
30309,functional
3496,functional
56971,functional
8646,non functional
37501,functional
69202,functional
68409,functional
17923,functional
71743,functional
58768,non functional
68933,non functional
12427,functional
24123,functional
17132,functional
3027,functional
2651,functional
25998,functional
63400,functional
67897,functional
16862,functional
15420,functional
712,functional
21621,functional
66038,functional
42182,functional
17694,functional
57759,functional
47978,functional
52359,non functional
69656,functional
43284,functional
2877,functional
21171,functional
40982,functional
48396,functional
28467,functional
2768,functional
65164,functional
69976,non functional
52145,functional
49259,functional
69848,functional
9305,functional
14359,functional
21243,functional
10616,non functional
73667,functional
20566,functional
63711,functional
72840,functional
31651,functional
3782,functional
6799,functional
21402,functional
35390,functional
36887,functional
20086,functional
2930,functional
41800,functional
68349,functional
30270,functional
4678,functional
20735,functional
49300,functional
25572,functional
32190,functional
39189,functional
52207,functional
48035,functional
73122,functional
42721,non functional
15116,functional
7837,functional
56907,functional
46382,functional
61861,functional
72139,functional
48152,functional
48001,functional
64118,functional
65793,functional
1830,functional
48371,functional
40115,functional
3793,functional
68070,functional
67682,functional
52394,functional
32218,functional
